YEAR;DAY;MONTH;CODE_INDICE_CONDICOES_ECONOMICAS_ATUAIS;INDICE_CONDICOES_ECONOMICAS_ATUAIS;CODE_IPCA_INDICE_GERAL;IPCA_INDICE_GERAL;CODE_IPCA_TAXA_VARIACAO;IPCA_TAXA_VARIACAO;CODE_PIB;PIB;CODE_TAXAS_DESEMPREGO;TAXAS_DESEMPREGO;uf;tcb;sr;cliente;ocupacao;cnae_secao;cnae_subclasse;porte;modalidade;origem;indexador;numero_de_operacoes;a_vencer_ate_90_dias;a_vencer_de_91_ate_360_dias;a_vencer_de_361_ate_1080_dias;a_vencer_de_1081_ate_1800_dias;a_vencer_de_1801_ate_5400_dias;a_vencer_acima_de_5400_dias;vencido_acima_de_15_dias;carteira_ativa;carteira_inadimplida_arrastada;ativo_problematico
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AC;Bancário;S1;PF;PF - Servidor ou empregado público;-;-;PF - Mais de 1 a 2 salários mínimos          ;PF - Habitacional;Com destinação específica;Pós-fixado;228;390560,46;1090451,61;2474358,56;1921153,68;5060944,98;1674411,30;68028,26;12679908,85;342051,66;1097749,43
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AC;Cooperativas;S5;PF;PF - Outros;-;-;PF - Mais de 2 a 3 salários mínimos          ;PF - Outros créditos;Com destinação específica;Flutuantes;<= 15;0,00;512,31;800,00;800,00;0,00;0,00;0,00;2112,31;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S1;PJ;-;PJ - Atividades profissionais, científicas e técnicas;PJ - Promoção de vendas;PJ - Micro                                   ;PJ - Operações com recebíveis;Sem destinação específica;Prefixado;<= 15;5356,37;0,00;0,00;0,00;0,00;0,00;0,00;5356,37;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S1;PJ;-;"PJ - Comércio; reparação de veículos automotores e motocicletas";PJ - Lojas de variedades, exceto lojas de departamentos ou magazines;PJ - Pequeno                                 ;PJ - Capital de giro;Sem destinação específica;Pós-fixado;<= 15;69949,67;19515,87;7003,06;0,00;0,00;0,00;0,00;96468,60;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S1;PJ;-;PJ - Construção;PJ - Aplicação de revestimentos e de resinas em interiores e exteriores;PJ - Pequeno                                 ;PJ - Capital de giro;Sem destinação específica;Pós-fixado;<= 15;14757,78;35380,94;23026,26;0,00;0,00;0,00;0,00;73164,98;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S1;PJ;-;PJ - Indústrias de transformação;PJ - Fabricação de cervejas e chopes;PJ - Pequeno                                 ;PJ - Operações com recebíveis;Sem destinação específica;Prefixado;<= 15;21043,46;0,00;0,00;0,00;0,00;0,00;0,00;21043,46;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S1;PJ;-;PJ - Saúde humana e serviços sociais;-;PJ - Pequeno                                 ;PJ - Operações com recebíveis;Sem destinação específica;Prefixado;<= 15;198107,08;19137,83;0,00;0,00;0,00;0,00;0,00;217244,91;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S2;PJ;-;"PJ - Comércio; reparação de veículos automotores e motocicletas";PJ - Lojas de departamentos ou magazines, exceto lojas francas (Duty free);PJ - Pequeno                                 ;PJ - Outros créditos;Sem destinação específica;Prefixado;<= 15;5743,03;2110,41;0,00;0,00;0,00;0,00;0,00;7853,44;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S2;PJ;-;"PJ - Comércio; reparação de veículos automotores e motocicletas";PJ - Serviços de manutenção e reparação mecânica de veículos automotores;PJ - Micro                                   ;PJ - Investimento;Sem destinação específica;Prefixado;<= 15;116,80;525,63;1290,94;0,00;0,00;0,00;0,00;1933,37;0,00;0,00
2020;1;1;FCESP12_IICA12;105.78;PRECOS12_IPCA12;5331.42;PRECOS12_IPCAG12;0.21;BM12_PIB12;617747.2;ECONMI12_ALU12;3.2;AL;Bancário;S3;PF;PF - MEI;-;-;PF - Mais de 3 a 5 salários mínimos          ;PF - Empréstimo sem consignação em folha;Sem destinação específica;Prefixado;<= 15;107,00;496,00;181,00;0,00;0,00;0,00;3011,78;3795,78;3011,78;3011,78
